doy,quantile,tmax,tmin,tmed
2022-01-01,0.1,278.2,269.4,274.0
2022-01-01,0.5,281.7,272.9,277.5
2022-01-01,0.9,284.8,278.2,280.9
2022-01-02,0.1,278.2,269.4,274.0
2022-01-02,0.5,281.7,272.9,277.5
2022-01-02,0.9,284.8,278.1,280.8
2022-01-03,0.1,278.2,269.4,274.0
2022-01-03,0.5,281.7,272.9,277.5
2022-01-03,0.9,284.8,278.1,280.8
2022-01-04,0.1,278.2,269.4,274.0
2022-01-04,0.5,281.7,272.8,277.5
2022-01-04,0.9,284.8,278.1,280.8
2022-01-05,0.1,278.2,269.4,274.0
2022-01-05,0.5,281.7,272.8,277.4
2022-01-05,0.9,284.8,278.1,280.8
2022-01-06,0.1,278.2,269.4,274.0
2022-01-06,0.5,281.7,272.8,277.4
2022-01-06,0.9,284.8,278.0,280.8
2022-01-07,0.1,278.2,269.4,274.0
2022-01-07,0.5,281.7,272.8,277.4
2022-01-07,0.9,284.9,277.9,280.8
2022-01-08,0.1,278.2,269.4,274.1
2022-01-08,0.5,281.7,272.8,277.5
2022-01-08,0.9,284.9,277.9,280.7
2022-01-09,0.1,278.2,269.4,274.1
2022-01-09,0.5,281.7,272.8,277.5
2022-01-09,0.9,284.9,277.9,280.7
2022-01-10,0.1,278.2,269.4,274.1
2022-01-10,0.5,281.7,272.9,277.5
2022-01-10,0.9,285.0,277.7,280.7
2022-01-11,0.1,278.2,269.4,274.1
2022-01-11,0.5,281.7,272.9,277.5
2022-01-11,0.9,285.0,277.7,280.7
2022-01-12,0.1,278.2,269.5,274.1
2022-01-12,0.5,281.7,272.9,277.5
2022-01-12,0.9,285.1,277.7,280.8
2022-01-13,0.1,278.1,269.4,274.1
2022-01-13,0.5,281.8,272.8,277.5
2022-01-13,0.9,285.1,277.7,280.8
2022-01-14,0.1,278.1,269.4,274.1
2022-01-14,0.5,281.8,272.9,277.5
2022-01-14,0.9,285.2,277.7,280.8
2022-01-15,0.1,278.1,269.4,274.1
2022-01-15,0.5,281.8,272.9,277.5
2022-01-15,0.9,285.4,277.5,280.8
2022-01-16,0.1,278.1,269.4,274.2
2022-01-16,0.5,281.9,272.9,277.6
2022-01-16,0.9,285.5,277.4,280.8
2022-01-17,0.1,278.1,269.4,274.1
2022-01-17,0.5,281.9,272.9,277.7
2022-01-17,0.9,285.5,277.4,280.8
2022-01-18,0.1,278.2,269.4,274.2
2022-01-18,0.5,281.9,272.8,277.7
2022-01-18,0.9,285.6,277.4,280.8
2022-01-19,0.1,278.2,269.4,274.2
2022-01-19,0.5,282.0,272.8,277.7
2022-01-19,0.9,285.7,277.4,280.8
2022-01-20,0.1,278.2,269.5,274.2
2022-01-20,0.5,282.0,272.9,277.8
2022-01-20,0.9,285.9,277.3,280.8
2022-01-21,0.1,278.2,269.5,274.2
2022-01-21,0.5,282.0,272.9,277.8
2022-01-21,0.9,286.0,277.4,280.9
2022-01-22,0.1,278.2,269.5,274.3
2022-01-22,0.5,282.1,273.0,277.9
2022-01-22,0.9,286.2,277.4,281.1
2022-01-23,0.1,278.3,269.7,274.4
2022-01-23,0.5,282.2,273.1,278.0
2022-01-23,0.9,286.3,277.4,281.1
2022-01-24,0.1,278.3,269.7,274.4
2022-01-24,0.5,282.2,273.1,278.0
2022-01-24,0.9,286.5,277.4,281.2
2022-01-25,0.1,278.4,269.7,274.4
2022-01-25,0.5,282.4,273.1,278.0
2022-01-25,0.9,286.5,277.4,281.2
2022-01-26,0.1,278.5,269.7,274.5
2022-01-26,0.5,282.4,273.2,278.0
2022-01-26,0.9,286.6,277.4,281.2
2022-01-27,0.1,278.6,269.8,274.5
2022-01-27,0.5,282.6,273.2,278.1
2022-01-27,0.9,286.7,277.4,281.3
2022-01-28,0.1,278.6,269.8,274.5
2022-01-28,0.5,282.6,273.2,278.2
2022-01-28,0.9,286.9,277.4,281.3
2022-01-29,0.1,278.6,269.8,274.6
2022-01-29,0.5,282.7,273.3,278.2
2022-01-29,0.9,287.1,277.4,281.5
2022-01-30,0.1,278.7,269.8,274.6
2022-01-30,0.5,282.8,273.3,278.3
2022-01-30,0.9,287.2,277.4,281.5
2022-01-31,0.1,278.7,269.8,274.6
2022-01-31,0.5,282.8,273.3,278.4
2022-01-31,0.9,287.2,277.4,281.6
2022-02-01,0.1,278.8,269.8,274.6
2022-02-01,0.5,283.0,273.3,278.4
2022-02-01,0.9,287.3,277.4,281.6
2022-02-02,0.1,278.9,269.8,274.6
2022-02-02,0.5,283.0,273.3,278.5
2022-02-02,0.9,287.4,277.5,281.6
2022-02-03,0.1,278.9,269.8,274.6
2022-02-03,0.5,283.1,273.4,278.5
2022-02-03,0.9,287.4,277.5,281.6
2022-02-04,0.1,279.0,269.9,274.6
2022-02-04,0.5,283.1,273.4,278.5
