time,tmax,tmin,tmed
2022-01-01,100.0,65.0,95.0
2022-01-02,99.0,57.0,87.0
2022-01-03,95.0,54.0,77.0
2022-01-04,96.0,56.0,81.0
2022-01-05,43.0,58.0,50.0
2022-01-06,33.0,22.0,24.0
2022-01-07,65.0,33.0,44.0
2022-01-08,49.0,20.0,30.0
2022-01-09,89.0,49.0,71.0
2022-01-10,98.0,94.0,99.0
2022-01-11,98.0,90.0,98.0
2022-01-12,85.0,69.0,79.0
2022-01-13,51.0,21.0,32.0
2022-01-14,40.0,9.0,20.0
2022-01-15,36.0,7.0,17.0
2022-01-16,55.0,9.0,26.0
2022-01-17,68.0,29.0,43.0
2022-01-18,86.0,24.0,55.0
2022-01-19,87.0,36.0,66.0
2022-01-20,89.0,62.0,80.0
2022-01-21,45.0,18.0,27.0
2022-01-22,58.0,28.0,38.0
2022-01-23,49.0,22.0,30.0
2022-01-24,43.0,15.0,24.0
2022-01-25,68.0,41.0,50.0
2022-01-26,69.0,41.0,51.0
2022-01-27,86.0,60.0,78.0
2022-01-28,92.0,53.0,82.0
2022-01-29,97.0,66.0,93.0
2022-01-30,99.0,37.0,86.0
2022-01-31,94.0,60.0,87.0
2022-02-01,99.0,75.0,96.0
2022-02-02,100.0,85.0,99.0
2022-02-03,98.0,47.0,88.0
2022-02-04,94.0,61.0,87.0
2022-02-05,86.0,88.0,93.0
2022-02-06,82.0,59.0,76.0
2022-02-07,94.0,64.0,90.0
2022-02-08,95.0,75.0,93.0
2022-02-09,90.0,24.0,66.0
2022-02-10,93.0,21.0,69.0
2022-02-11,97.0,83.0,97.0
2022-02-12,90.0,67.0,87.0
2022-02-13,68.0,65.0,69.0
2022-02-14,67.0,61.0,67.0
2022-02-15,70.0,34.0,51.0
2022-02-16,89.0,54.0,81.0
2022-02-17,96.0,55.0,88.0
2022-02-18,97.0,41.0,86.0
2022-02-19,66.0,70.0,71.0
2022-02-20,80.0,22.0,56.0
2022-02-21,93.0,60.0,86.0
2022-02-22,98.0,66.0,93.0
2022-02-23,93.0,78.0,92.0
2022-02-24,86.0,49.0,75.0
2022-02-25,65.0,87.0,80.0
2022-02-26,20.0,77.0,42.0
2022-02-27,67.0,67.0,70.0
2022-02-28,77.0,69.0,78.0
2022-03-01,80.0,35.0,66.0
2022-03-02,75.0,56.0,72.0
2022-03-03,37.0,36.0,34.0
2022-03-04,51.0,59.0,55.0
2022-03-05,47.0,23.0,34.0
2022-03-06,41.0,34.0,34.0
2022-03-07,27.0,47.0,32.0
2022-03-08,41.0,46.0,40.0
2022-03-09,48.0,16.0,31.0
2022-03-10,53.0,30.0,44.0
2022-03-11,26.0,81.0,47.0
2022-03-12,39.0,33.0,34.0
2022-03-13,44.0,69.0,56.0
2022-03-14,25.0,85.0,48.0
2022-03-15,84.0,99.0,97.0
2022-03-16,80.0,99.0,96.0
2022-03-17,43.0,89.0,62.0
2022-03-18,52.0,86.0,67.0
2022-03-19,51.0,58.0,55.0
2022-03-20,35.0,50.0,42.0
2022-03-21,37.0,96.0,66.0
2022-03-22,21.0,86.0,46.0
2022-03-23,21.0,76.0,40.0
2022-03-24,27.0,74.0,45.0
2022-03-25,24.0,86.0,47.0
2022-03-26,41.0,68.0,52.0
2022-03-27,50.0,61.0,55.0
2022-03-28,62.0,40.0,54.0
2022-03-29,75.0,65.0,76.0
2022-03-30,31.0,58.0,41.0
2022-03-31,26.0,21.0,19.0
2022-04-01,11.0,8.0,7.0
2022-04-02,11.0,2.0,4.0
2022-04-03,14.0,1.0,3.0
2022-04-04,28.0,4.0,10.0
2022-04-05,34.0,30.0,30.0
2022-04-06,53.0,9.0,30.0
2022-04-07,77.0,22.0,56.0
2022-04-08,64.0,43.0,58.0
2022-04-09,63.0,73.0,71.0
2022-04-10,90.0,58.0,84.0
2022-04-11,93.0,69.0,91.0
2022-04-12,50.0,56.0,53.0
2022-04-13,67.0,56.0,67.0
2022-04-14,81.0,88.0,87.0
2022-04-15,95.0,96.0,97.0
2022-04-16,96.0,98.0,98.0
2022-04-17,97.0,87.0,95.0
2022-04-18,91.0,95.0,94.0
2022-04-19,71.0,76.0,76.0
2022-04-20,16.0,45.0,23.0
2022-04-21,40.0,17.0,28.0
2022-04-22,4.0,53.0,14.0
2022-04-23,12.0,45.0,19.0
2022-04-24,45.0,10.0,27.0
2022-04-25,62.0,51.0,62.0
2022-04-26,75.0,50.0,69.0
2022-04-27,59.0,68.0,65.0
2022-04-28,30.0,76.0,49.0
2022-04-29,80.0,82.0,83.0
2022-04-30,82.0,78.0,83.0
2022-05-01,85.0,84.0,87.0
2022-05-02,49.0,86.0,67.0
2022-05-03,35.0,79.0,52.0
2022-05-04,54.0,77.0,66.0
2022-05-05,70.0,64.0,69.0
2022-05-06,75.0,56.0,70.0
2022-05-07,74.0,59.0,70.0
2022-05-08,94.0,81.0,91.0
2022-05-09,94.0,90.0,94.0
2022-05-10,94.0,78.0,91.0
2022-05-11,96.0,83.0,93.0
2022-05-12,88.0,90.0,91.0
2022-05-13,94.0,78.0,91.0
2022-05-14,96.0,96.0,98.0
2022-05-15,72.0,78.0,77.0
2022-05-16,79.0,47.0,68.0
2022-05-17,88.0,57.0,81.0
2022-05-18,97.0,79.0,95.0
2022-05-19,99.0,94.0,99.0
2022-05-20,99.0,90.0,97.0
2022-05-21,100.0,99.0,100.0
2022-05-22,82.0,95.0,90.0
2022-05-23,80.0,69.0,77.0
2022-05-24,43.0,48.0,44.0
2022-05-25,40.0,17.0,29.0
2022-05-26,75.0,26.0,59.0
2022-05-27,90.0,80.0,87.0
2022-05-28,94.0,93.0,95.0
2022-05-29,88.0,65.0,81.0
2022-05-30,49.0,57.0,54.0
2022-05-31,73.0,26.0,58.0
2022-06-01,69.0,52.0,64.0
2022-06-02,66.0,64.0,67.0
2022-06-03,61.0,66.0,64.0
2022-06-04,55.0,36.0,49.0
2022-06-05,64.0,25.0,51.0
2022-06-06,75.0,33.0,59.0
2022-06-07,86.0,83.0,86.0
2022-06-08,71.0,95.0,85.0
2022-06-09,87.0,80.0,85.0
2022-06-10,100.0,91.0,99.0
2022-06-11,99.0,99.0,99.0
2022-06-12,100.0,99.0,100.0
2022-06-13,100.0,95.0,99.0
2022-06-14,100.0,97.0,99.0
2022-06-15,100.0,97.0,100.0
2022-06-16,100.0,99.0,100.0
2022-06-17,100.0,100.0,100.0
2022-06-18,100.0,99.0,100.0
2022-06-19,36.0,87.0,59.0
2022-06-20,21.0,39.0,26.0
2022-06-21,31.0,10.0,21.0
2022-06-22,15.0,17.0,15.0
2022-06-23,14.0,16.0,14.0
2022-06-24,18.0,9.0,14.0
2022-06-25,24.0,9.0,17.0
2022-06-26,26.0,22.0,24.0
2022-06-27,41.0,18.0,30.0
2022-06-28,52.0,28.0,42.0
2022-06-29,51.0,29.0,43.0
2022-06-30,38.0,34.0,36.0
2022-07-01,72.0,28.0,53.0
2022-07-02,94.0,87.0,93.0
2022-07-03,76.0,95.0,87.0
2022-07-04,76.0,40.0,61.0
2022-07-05,90.0,82.0,89.0
2022-07-06,72.0,95.0,86.0
2022-07-07,50.0,55.0,53.0
2022-07-08,97.0,58.0,89.0
2022-07-09,97.0,93.0,97.0
2022-07-10,97.0,96.0,98.0
2022-07-11,100.0,98.0,99.0
2022-07-12,99.0,98.0,99.0
2022-07-13,100.0,92.0,99.0
2022-07-14,100.0,99.0,100.0
2022-07-15,100.0,100.0,100.0
2022-07-16,100.0,97.0,100.0
2022-07-17,100.0,95.0,100.0
2022-07-18,99.0,96.0,99.0
2022-07-19,59.0,94.0,80.0
2022-07-20,99.0,80.0,97.0
2022-07-21,94.0,98.0,98.0
2022-07-22,89.0,85.0,89.0
2022-07-23,97.0,85.0,95.0
2022-07-24,98.0,50.0,87.0
2022-07-25,93.0,100.0,99.0
2022-07-26,88.0,83.0,88.0
2022-07-27,69.0,87.0,80.0
2022-07-28,76.0,93.0,88.0
2022-07-29,83.0,80.0,84.0
2022-07-30,98.0,91.0,97.0
2022-07-31,99.0,97.0,99.0
2022-08-01,100.0,99.0,100.0
2022-08-02,99.0,99.0,100.0
2022-08-03,97.0,97.0,98.0
2022-08-04,90.0,90.0,93.0
