time,tmax,tmin
2022-01-01,288.9,274.5
2022-01-02,287.2,273.5
2022-01-03,285.5,273.2
2022-01-04,286.0,273.4
2022-01-05,281.3,273.5
2022-01-06,280.5,270.6
2022-01-07,282.6,271.5
2022-01-08,281.7,270.4
2022-01-09,284.8,272.8
2022-01-10,287.6,278.6
2022-01-11,287.2,277.6
2022-01-12,284.3,274.7
2022-01-13,281.9,270.5
2022-01-14,281.1,269.3
2022-01-15,280.8,269.1
2022-01-16,282.1,269.3
2022-01-17,283.1,271.2
2022-01-18,285.0,270.9
2022-01-19,285.3,271.8
2022-01-20,285.7,273.9
2022-01-21,281.9,270.4
2022-01-22,282.7,271.4
2022-01-23,282.1,270.9
2022-01-24,281.9,270.2
2022-01-25,283.7,272.4
2022-01-26,283.9,272.4
2022-01-27,286.0,274.1
2022-01-28,287.5,273.5
2022-01-29,288.9,274.7
2022-01-30,289.6,272.3
2022-01-31,288.1,274.3
2022-02-01,289.8,275.6
2022-02-02,292.1,276.7
2022-02-03,289.6,273.2
2022-02-04,288.2,274.4
2022-02-05,287.0,277.1
2022-02-06,286.5,274.3
2022-02-07,288.9,274.7
2022-02-08,289.2,275.6
2022-02-09,288.1,271.4
2022-02-10,289.0,271.1
2022-02-11,290.0,276.6
2022-02-12,288.4,275.1
2022-02-13,285.3,275.0
2022-02-14,285.4,274.7
2022-02-15,285.7,272.4
2022-02-16,288.9,274.2
2022-02-17,290.5,274.3
2022-02-18,291.1,273.2
2022-02-19,285.8,275.6
2022-02-20,287.8,271.4
2022-02-21,290.3,274.9
2022-02-22,292.3,275.4
2022-02-23,290.8,276.8
2022-02-24,289.5,273.9
2022-02-25,286.8,278.1
2022-02-26,281.4,276.8
2022-02-27,287.4,275.9
2022-02-28,289.1,276.2
2022-03-01,289.8,273.2
2022-03-02,289.3,275.2
2022-03-03,284.0,273.5
2022-03-04,286.2,275.5
2022-03-05,285.8,272.4
2022-03-06,285.1,273.6
2022-03-07,283.5,274.8
2022-03-08,285.6,274.9
2022-03-09,287.1,271.7
2022-03-10,287.9,273.5
2022-03-11,284.0,278.1
2022-03-12,286.1,273.9
2022-03-13,287.0,277.3
2022-03-14,284.4,278.5
2022-03-15,292.4,281.6
2022-03-16,291.9,281.5
2022-03-17,287.3,279.0
2022-03-18,288.6,278.7
2022-03-19,288.4,276.6
2022-03-20,286.6,275.9
2022-03-21,286.9,280.6
2022-03-22,284.8,278.9
2022-03-23,284.7,278.1
2022-03-24,285.9,278.0
2022-03-25,285.3,279.0
2022-03-26,287.7,277.6
2022-03-27,288.9,277.2
2022-03-28,290.4,275.5
2022-03-29,292.1,277.5
2022-03-30,286.4,277.0
2022-03-31,285.6,273.9
2022-04-01,283.5,272.1
2022-04-02,283.5,270.2
2022-04-03,284.0,269.6
2022-04-04,286.1,271.0
2022-04-05,286.8,274.9
2022-04-06,289.4,272.4
2022-04-07,292.6,274.1
2022-04-08,291.0,276.1
2022-04-09,291.0,278.5
2022-04-10,295.1,277.4
2022-04-11,296.4,278.2
2022-04-12,289.4,277.3
2022-04-13,292.0,277.4
2022-04-14,294.2,280.2
2022-04-15,298.2,282.0
2022-04-16,298.5,282.9
2022-04-17,299.1,280.5
2022-04-18,297.6,282.0
2022-04-19,293.4,279.3
2022-04-20,285.5,277.0
2022-04-21,289.2,274.5
2022-04-22,282.7,277.8
2022-04-23,284.8,277.2
2022-04-24,290.3,273.6
2022-04-25,293.0,277.9
2022-04-26,294.9,277.9
2022-04-27,292.8,279.4
2022-04-28,288.8,280.3
2022-04-29,296.5,281.0
2022-04-30,297.0,280.7
2022-05-01,297.9,281.5
2022-05-02,292.2,281.8
2022-05-03,290.3,281.1
2022-05-04,293.3,281.1
2022-05-05,295.9,280.0
2022-05-06,297.3,279.5
2022-05-07,297.3,279.9
2022-05-08,300.7,282.3
2022-05-09,300.9,283.7
2022-05-10,301.3,282.4
2022-05-11,302.4,283.0
2022-05-12,300.3,284.2
2022-05-13,302.0,282.7
2022-05-14,303.4,285.7
2022-05-15,298.1,283.0
2022-05-16,299.3,280.3
2022-05-17,301.3,281.4
2022-05-18,305.2,283.7
2022-05-19,307.7,286.4
2022-05-20,306.3,285.8
2022-05-21,310.8,288.8
2022-05-22,301.2,287.3
2022-05-23,300.9,283.5
2022-05-24,295.9,281.9
2022-05-25,295.8,278.7
2022-05-26,300.9,280.0
2022-05-27,304.1,285.3
2022-05-28,305.4,287.7
2022-05-29,304.2,284.1
2022-05-30,298.2,283.6
2022-05-31,302.1,281.1
2022-06-01,301.8,283.5
2022-06-02,301.6,284.9
2022-06-03,300.9,285.3
2022-06-04,300.2,282.6
2022-06-05,302.0,281.9
2022-06-06,303.8,282.7
2022-06-07,305.7,287.9
2022-06-08,303.7,290.1
2022-06-09,306.4,287.9
2022-06-10,311.4,289.6
2022-06-11,310.4,292.5
2022-06-12,312.5,293.0
2022-06-13,311.4,290.4
2022-06-14,312.8,291.0
2022-06-15,315.9,291.2
2022-06-16,314.1,292.5
2022-06-17,313.8,294.8
2022-06-18,312.6,293.2
2022-06-19,301.3,289.9
2022-06-20,298.6,285.8
2022-06-21,300.7,282.3
